"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"norm",32.6131076316113,27.6526002669015,0,"relative convergence (4)",305.950082385987,306.33717916018,34,"FULL",0.6,30,0.873471188863064,64.8752556342765
"weibull",1.53944285545088,42.8624598440832,0,"relative convergence (4)",511.18284175209,511.349508418757,75,"RP",0.7,30,0.0867242897883738,1235.44231269358
"norm",51.2356989747987,36.0273462910774,0,"relative convergence (4)",303.790064489986,304.097756797678,42,"RP",0.9,30,0.0499162647097312,934.899014139754
"norm",35.4780076329587,24.7594127739711,0,"relative convergence (4)",533.671414310355,533.881940626145,60,"FULL",0.4,31,0.919477322505392,163.136160434365
"weibull",1.43319574687617,40.7931133888262,0,"relative convergence (4)",304.057828095418,304.444924869611,34,"FULL",0.6,31,0.973082394791198,58.2341916470764
"weibull",1.44744519106055,46.5236681894747,0,"relative convergence (4)",622.136978833639,622.268846965507,94,"RP",0.7,31,0.0874604559734086,1535.38776800503
"norm",91.3778109056656,75.9478460716114,0,"X-convergence (3)",278.579522639026,278.90384696335,40,"RP",0.9,31,0.026944252123376,1649.49630967437
"norm",45.2926701181688,23.5719324544144,0,"relative convergence (4)",466.314423017908,466.559320977092,52,"FULL",0.4,32,0.962516516153118,135.062617439096
"norm",-1.9957817541206,57.6402104413423,0,"relative convergence (4)",338.508386845141,338.861328021612,37,"FULL",0.6,32,0.447786287942668,137.714504278349
"weibull",1.34380573435386,51.1231679064077,0,"X-convergence (3)",450.427121792055,450.61173717667,68,"RP",0.7,32,0.0894149464954956,1086.42750401635
"norm",37.71430773582,23.4386295518603,0,"relative convergence (4)",323.985324780838,324.26439454828,46,"RP",0.9,32,0.0655560326999818,779.655342247782
"weibull",2.12997646510493,51.1617936162089,0,"relative convergence (4)",464.283247198899,464.528145158083,52,"FULL",0.4,33,0.984518434137924,132.044251780651
"norm",32.1257199114167,27.451572776647,0,"relative convergence (4)",332.061230520544,332.414171697014,37,"FULL",0.6,33,0.872345195442306,70.6906703777967
"gamma",1.22102602114266,0.0110080476041759,0,"X-convergence (3)",492.064973146439,492.233987230946,74,"RP",0.7,33,0.0500462457408074,2112.33198713419
"llog",0.649008859217169,4.21993818512715,0,"relative convergence (4)",260.10862601941,260.472262383046,36,"RP",0.9,33,0.0451016248773387,886.886007073728
"norm",40.2446356652525,26.2112530845568,0,"relative convergence (4)",513.617876137982,513.840098360204,57,"FULL",0.4,34,0.92634565977699,153.830266808079
"norm",42.3445458065167,25.0380857055494,0,"relative convergence (4)",280.628657884686,281.057229313258,31,"FULL",0.6,34,0.943953631948805,54.7343268969686
"gamma",1.48513795987225,0.0230417481700955,0,"relative convergence (4)",514.112192560115,514.276576121759,76,"RP",0.7,34,0.0653829108107097,1660.54749207716
"norm",46.6011063312962,32.3218708753607,0,"relative convergence (4)",226.770272509555,227.198843938127,31,"RP",0.9,34,0.0549592618264374,626.726839112591
"norm",33.2031429210964,26.2412185949122,0,"relative convergence (4)",561.192618695998,561.392618695998,63,"FULL",0.4,35,0.891662811340754,176.636277746264
"llog",0.3396837656197,3.61896714123533,0,"relative convergence (4)",331.230429276601,331.573286419458,38,"FULL",0.6,35,0.948009206099418,66.8066648782012
"gamma",1.51473751303823,0.0364976043828313,0,"relative convergence (4)",488.622207917315,488.782207917315,78,"RP",0.7,35,0.105274098686133,1058.4614147188
"gamma",1.31901667333952,0.0155214089429067,0,"relative convergence (4)",257.802926683241,258.145783826098,38,"RP",0.9,35,0.0580983175674935,726.737433888205
"norm",34.7896539954119,26.7055975768082,0,"relative convergence (4)",554.898185098443,555.101574928952,62,"FULL",0.4,36,0.896356486510734,172.922271811042
"weibull",1.80197322727632,55.8789415583451,0,"relative convergence (4)",283.792546264086,284.221117692657,31,"FULL",0.6,36,0.942385859677874,54.8253840357148
"gamma",1.29932713670175,0.0135831639240976,0,"relative convergence (4)",504.11523026728,504.284244351787,74,"RP",0.7,36,0.0523200222428812,2020.53212484384
"weibull",1.60818055828971,40.3400524087414,0,"relative convergence (4)",253.626420604449,253.97936178092,37,"RP",0.9,36,0.0867455758282062,473.927467984407
"llog",0.628603862377857,3.8706231713068,0,"relative convergence (4)",436.746336811916,437.013003478583,48,"FULL",0.4,37,0.762880510996074,157.298552355622
"norm",36.786254371648,22.9327737809787,0,"relative convergence (4)",319.774132776532,320.137769140168,36,"FULL",0.6,37,0.942731640251353,63.644835325568
"gamma",1.57746848604931,0.0308751557783708,0,"relative convergence (4)",452.051367617114,452.233185798932,69,"RP",0.7,37,0.0784765492736727,1256.06221837913
"gamma",1.67234156586649,0.0274870296311584,0,"relative convergence (4)",337.160126549789,337.432853822517,47,"RP",0.9,37,0.0582627923561447,896.321994026684
"gamma",1.9026153458409,0.0356194716682647,0,"relative convergence (4)",446.810434666554,447.071304231771,49,"FULL",0.4,38,0.884193979267472,138.544259373365
"gamma",1.29045000314544,0.0251511960654776,0,"relative convergence (4)",391.256102285028,391.556102285028,43,"FULL",0.6,38,0.871316946179926,82.2509730596558
"llog",0.677265619337908,4.24486187007847,0,"relative convergence (4)",503.589319577268,503.763232620746,72,"RP",0.7,38,0.047812772141113,2151.2482596402
"gamma",1.95212383844265,0.0324675123176329,0,"relative convergence (4)",341.8117072028,342.104390129629,44,"RP",0.9,38,0.0467944561391806,1044.75813851707
"llog",0.465577647315862,3.72708355534432,0,"relative convergence (4)",528.793355598198,529.007641312484,59,"FULL",0.4,39,0.868300545490252,169.872057280259
"norm",35.6169763596214,56.3248898517462,0,"relative convergence (4)",334.605478395034,334.969114758671,36,"FULL",0.6,39,0.609914755192852,98.3744031262668
"llog",0.672007070567317,3.37744357447513,0,"relative convergence (4)",369.116673072651,369.316673072651,63,"RP",0.7,39,0.1279755415675,703.25937985994
"weibull",1.49325217980577,41.5668591748233,0,"both X-convergence and relative convergence (5)",249.216855835628,249.550189168962,39,"RP",0.9,39,0.0944989907005558,458.558689485331
"gamma",2.9324650781783,0.073110657802033,0,"relative convergence (4)",404.754233395713,405.033303163155,46,"FULL",0.4,40,0.978457746867064,117.531901983729
"norm",29.4924192538356,24.3890334232163,0,"relative convergence (4)",299.765167853121,300.152264627315,34,"FULL",0.6,40,0.884796070377016,64.0448896235725
"llog",0.622854300400187,4.08086061373195,0,"relative convergence (4)",503.263650255094,503.442754732706,70,"RP",0.7,40,0.0493181101889286,2027.65271452857
"llog",0.676247781503666,3.55936037370836,0,"relative convergence (4)",284.86668332546,285.145753092902,46,"RP",0.9,40,0.105474023952273,484.584821891679
"norm",30.5259558724137,23.1236902721408,0,"relative convergence (4)",515.097843354655,515.312129068941,59,"FULL",0.4,41,0.905271577647844,162.934531075467
"norm",47.703430964011,21.0599775450327,0,"relative convergence (4)",284.917482203007,285.331275306455,32,"FULL",0.6,41,0.981737398902183,54.3254574929841
"gamma",1.42221987637729,0.020782394135641,0,"relative convergence (4)",437.045510808984,437.233010808984,67,"RP",0.7,41,0.0653580347627914,1464.46088934082
"weibull",1.45405399776518,40.8966967611411,0,"relative convergence (4)",288.934304626339,289.234304626339,43,"RP",0.9,41,0.100504792431344,475.378105083051
"norm",10.4136549514845,47.6314760087638,0,"relative convergence (4)",499.538030216124,499.768799446894,55,"FULL",0.4,42,0.556532695651601,247.065448399239
"llog",0.474920386771488,3.66725455873301,0,"relative convergence (4)",279.008075608349,279.436647036921,31,"FULL",0.6,42,0.878135401794947,58.8367882231575
"gamma",1.56780341733687,0.0269662225573382,0,"relative convergence (4)",510.715661631437,510.882328298104,75,"RP",0.7,42,0.0679370767698367,1577.0895987451
"llog",0.637835538179195,3.37746104858768,0,"relative convergence (4)",231.160762284044,231.494095617377,39,"RP",0.9,42,0.119316468721464,363.179817485982
"norm",38.6756953209225,35.262013603299,0,"relative convergence (4)",431.490408064632,431.763135337359,47,"FULL",0.4,43,0.8226293152635,142.834686072867
"norm",44.3379038420706,29.220725709994,0,"relative convergence (4)",239.163964070141,239.685703200576,26,"FULL",0.6,43,0.907012551756771,47.7758915787902
"gamma",1.60565849080628,0.030384252686996,0,"relative convergence (4)",543.985706101173,544.141550257018,80,"RP",0.7,43,0.0735092366343045,1554.71229900353
"weibull",1.37949081063956,48.100629291399,0,"relative convergence (4)",239.880306974514,240.233248150985,37,"RP",0.9,43,0.0914174222064536,449.70761720088
"norm",34.2908009339172,27.7325220773302,0,"relative convergence (4)",440.553887176075,440.814756741293,49,"FULL",0.4,44,0.882951825081063,138.739166192621
"weibull",1.51794344252397,55.5937606429195,0,"relative convergence (4)",321.287293807594,321.662293807594,35,"FULL",0.6,44,0.912665794597248,63.9153276902148
"gamma",1.33598004546447,0.0249675281420961,0,"relative convergence (4)",476.919035663458,477.088049747965,74,"RP",0.7,44,0.0942543820085159,1121.58483734724
"weibull",1.60560591346405,37.0906050372293,0,"relative convergence (4)",284.251540931528,284.55923323922,42,"RP",0.9,44,0.0961724043187982,485.239679689957
"norm",38.6752729900877,28.9796197814995,0,"relative convergence (4)",516.779819875894,517.002042098116,57,"FULL",0.4,45,0.891824357360067,159.784826265366
"norm",31.8668374360518,27.3419464916862,0,"relative convergence (4)",358.343900262799,358.668224587124,40,"FULL",0.6,45,0.871736938133906,76.4756702972545
"weibull",1.69793449376709,41.2307650518836,0,"relative convergence (4)",489.084347294341,489.263451771953,70,"RP",0.7,45,0.077285413771262,1293.90521600836
"gamma",1.6479008089737,0.0282476763110194,0,"relative convergence (4)",277.164096414653,277.488420738977,40,"RP",0.9,45,0.062758531920126,708.181709875077
"norm",25.499445111133,34.8166979764583,0,"relative convergence (4)",514.449530635002,514.671752857224,57,"FULL",0.4,46,0.751849385682264,189.532641395575
"weibull",1.33736275789569,78.9604323912192,0,"relative convergence (4)",269.814550994038,270.276089455576,29,"FULL",0.6,46,0.746277823848342,64.7658710855055
"gamma",1.3020449339181,0.013265173831722,0,"relative convergence (4)",470.581824743576,470.763642925394,69,"RP",0.7,46,0.050636893922116,1946.63260197279
