"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.57491045065154,4.21084529313626,0,"relative convergence (4)",642.077313974284,642.221892287537,86,"RP",0.9,17,0.0356218809666557,2682.4960659714
"weibull",1.77832094808842,45.9199059315733,0,"relative convergence (4)",1199.80225728889,1199.8931663798,135,"FULL",0.4,18,0.9815169068346,343.855513491296
"weibull",1.3216078626185,57.472748274318,0,"relative convergence (4)",739.527042382683,739.680888536529,81,"FULL",0.6,18,0.874970217722946,154.290965870049
"gamma",1.82380852057762,0.0395500504905991,0,"relative convergence (4)",1157.70569830094,1157.77842557366,168,"RP",0.7,18,0.0726941185756907,3301.50505573717
"llog",0.644746881170232,4.35796165907537,0,"relative convergence (4)",645.344680944926,645.485857415514,88,"RP",0.9,18,0.0374758739113444,2609.08599514151
"norm",40.2101880751679,32.5152544723961,0,"relative convergence (4)",1101.73732484144,1101.83901975669,121,"FULL",0.4,19,0.858922030013327,352.185634352988
"weibull",1.54890709399118,56.0759856586379,0,"relative convergence (4)",738.438635191832,738.592481345679,81,"FULL",0.6,19,0.913684569932568,147.753398101014
"gamma",1.96514787646623,0.0408100184266794,0,"relative convergence (4)",1266.73681898831,1266.80618315016,176,"RP",0.7,19,0.0621059531247979,4048.3811740775
"llog",0.581848589576026,3.64211678306647,0,"relative convergence (4)",610.304466464837,610.439297925511,92,"RP",0.9,19,0.0755286850799826,1353.42250581977
"llog",0.50308285880461,3.70998456264346,0,"relative convergence (4)",1001.63878401818,1001.7488757613,112,"FULL",0.4,20,0.85562275841928,327.247022411239
"gamma",2.34655755315237,0.0605753743735549,0,"relative convergence (4)",765.656556808517,765.799413951375,87,"FULL",0.6,20,0.972798979758589,149.054432639294
"gamma",1.95946488909617,0.0457669204602777,0,"relative convergence (4)",1117.42726354533,1117.50226354533,163,"RP",0.7,20,0.0726252820095068,3206.28211573294
"gamma",1.90346199286376,0.0353879115212073,0,"relative convergence (4)",642.86652705071,643.007703521299,88,"RP",0.9,20,0.0562225194956532,1739.12123922759
"gamma",1.92114179118086,0.0435680356467126,0,"relative convergence (4)",1190.3404423808,1190.4327500731,133,"FULL",0.4,21,0.938000831633158,354.477297659835
"weibull",1.50361755244283,47.5743632014547,0,"relative convergence (4)",792.707472492393,792.848648962981,88,"FULL",0.6,21,0.952909236494852,153.914623816808
"gamma",2.04132769144522,0.0517430024920626,0,"relative convergence (4)",1133.21885460272,1133.29202533443,167,"RP",0.7,21,0.0766336185327267,3113.14320189051
"gamma",1.75506607990435,0.0321361932013598,0,"relative convergence (4)",515.526194219281,515.697622790709,73,"RP",0.9,21,0.0620284422242676,1307.64385179703
"weibull",1.70879576466133,47.9526065837791,0,"relative convergence (4)",1190.91123922479,1191.0035469171,133,"FULL",0.4,22,0.970131977143001,342.73687274921
"weibull",1.55082433770192,47.8629980339721,0,"relative convergence (4)",828.209604735399,828.344436196073,92,"FULL",0.6,22,0.956508535580765,160.305243110281
"gamma",1.6247681820853,0.0246272550589473,0,"relative convergence (4)",1224.22830273205,1224.29807017391,175,"RP",0.7,22,0.0551321744419491,4534.55722598489
"gamma",2.03708475291094,0.054090692397846,0,"relative convergence (4)",527.398436171253,527.556330908095,79,"RP",0.9,22,0.0816354274163544,1075.24123479009
"norm",33.8926672390228,27.9888899582349,0,"relative convergence (4)",1180.22141384343,1180.31443709924,132,"FULL",0.4,23,0.877948990195881,375.876051667163
"norm",24.9777549403457,37.9818776007303,0,"relative convergence (4)",760.635572582518,760.783720730666,84,"FULL",0.6,23,0.720487712479652,194.312821128027
"llog",0.52280699433927,3.56997584662926,0,"relative convergence (4)",1161.48630013706,1161.55902740979,168,"RP",0.7,23,0.0698573087858348,3435.57466171193
"weibull",1.72326028933712,40.349586880974,0,"relative convergence (4)",586.334015080212,586.48216322836,84,"RP",0.9,23,0.0774771888785258,1204.65565006066
"llog",0.546667938522785,3.69873657841111,0,"relative convergence (4)",1299.70779022645,1299.79229726871,145,"FULL",0.4,24,0.839983645997171,431.556021033796
"norm",24.80084455066,43.7335826215805,0,"relative convergence (4)",802.977399070955,803.118575541543,88,"FULL",0.6,24,0.67191000403172,218.283201301677
"weibull",1.68001184952742,40.3072003038277,0,"relative convergence (4)",1093.74599094992,1093.82291402685,159,"RP",0.7,24,0.0808600607480745,2809.08590769598
"gamma",1.81061390918562,0.0351342250972061,0,"relative convergence (4)",623.747269855996,623.888446326584,88,"RP",0.9,24,0.0638111331738428,1532.29966174395
"norm",34.1013432086088,29.971578794383,0,"relative convergence (4)",1205.32181651975,1205.41341957318,134,"FULL",0.4,25,0.858446317234394,390.239894183773
