"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.467295121943835,3.42020500384928,0,"relative convergence (4)",706.316915960373,706.436915960373,103,"RP",0.9,28,0.0722149202441076,1584.7756122639
"weibull",1.5071953406524,41.6576759419765,0,"relative convergence (4)",1257.96896763574,1258.05529857099,142,"FULL",0.4,29,0.976311753334565,363.613363034407
"gamma",1.9475743803179,0.046707613157477,0,"relative convergence (4)",766.971025187091,767.115603500344,86,"FULL",0.6,29,0.950503254937262,150.797309308314
"gamma",2.42647468433308,0.0726278301131875,0,"relative convergence (4)",1112.31860795143,1112.39407964954,162,"RP",0.7,29,0.0778222133827128,2973.81122135984
"weibull",1.74893280013856,40.7048105839136,0,"relative convergence (4)",648.910086625301,649.046450261665,91,"RP",0.9,29,0.07481188414973,1351.53809131107
"llog",0.593072697636842,3.74164545856457,0,"relative convergence (4)",1248.2680818992,1248.35631719332,139,"FULL",0.4,30,0.810922935445591,428.524074003473
"gamma",2.63884195428757,0.0701321264616854,0,"relative convergence (4)",793.701494810023,793.837858446387,91,"FULL",0.6,30,0.981345237333256,154.549755679063
"gamma",2.32079798873531,0.0759429292975998,0,"relative convergence (4)",1208.91840325297,1208.98470159552,184,"RP",0.7,30,0.0925484011745707,2840.21268353761
"gamma",2.50388095461261,0.0890884924370602,0,"relative convergence (4)",713.135825948397,713.246937059508,111,"RP",0.9,30,0.0956840780229221,1288.9640145123
"llog",0.425702069216024,3.54723015709594,0,"relative convergence (4)",1345.17345752539,1345.25292772406,154,"FULL",0.4,31,0.923095289820935,417.075034663738
"weibull",1.49765661728741,45.9947996935157,0,"relative convergence (4)",781.127813285898,781.270670428755,87,"FULL",0.6,31,0.959236751217056,151.161848017215
"gamma",2.35538241707991,0.0640067311186285,0,"relative convergence (4)",1215.81050003474,1215.8815059519,172,"RP",0.7,31,0.070543823938163,3483.14383878131
"gamma",2.56246961622531,0.0636197787559271,0,"relative convergence (4)",678.10818519166,678.246116226143,90,"RP",0.9,31,0.0562998556995962,1776.20348680072
